Band,Album,Date Published,Nerd Date
Thy Catafalque,Meta,2016-9-29,3684182400
Kryptos,Burn up the Night,2016-9-30,3684268800
The Reticent,On the Eve of a Goodbye,2016-10-5,3684700800
Mercyless,Pathetic Divinity,2016-10-5,3684700800
Candiria,While They Were Sleeping,2016-10-6,3684787200
Northern Crown,The Others,2016-10-6,3684787200
Oozing Wound,Whatever Forever,2016-10-13,3685392000
The Dillinger Escape Plan,Dissociation,2016-10-17,3685737600
Negură Bunget,Zi,2016-10-19,3685910400
Anaal Nathrakh,The Whole of the Law,2016-10-26,3686515200
Dark Tranquillity,Atoma,2016-10-27,3686601600
Mithras,On Strange Loops,2016-10-28,3686688000
Saor,Guardians,2016-10-30,3686860800
Madder Mortem,Red in Tooth and Claw,2016-11-1,3687033600
Vader,The Empire,2016-11-4,3687292800
Xoth,Invasion of the Tentacube,2016-11-7,3687552000
Downfall of Gaia,Atrophy,2016-11-10,3687811200
Conceived By Hate,Death & Beyond,2016-11-11,3687897600
Spiritus Mortis,The Year is One,2016-11-14,3688156800
Witchery,In His Infernal Majesty’s Service,2016-11-20,3688675200
Violet Cold,Magic Night,2016-12-3,3689798400
Crimson Moon,Oneironaut,2016-12-8,3690230400
Zao,The Well-Intentioned Virus,2016-12-8,3690230400
Need,Hegaiamas​: ​A Song for Freedom,2017-1-11,3693168000
Helheim,landawarijaR,2017-1-12,3693254400
Undrask,Battle Through Time,2017-1-19,3693859200
Pain of Salvation,In the Passing Light of Day,2017-1-22,3694118400
Hour of Penance,Cast The First Stone,2017-1-22,3694118400
Lorn,Arrayed Claws,2017-1-25,3694377600
Nailed to Obscurity,King Delusion,2017-1-26,3694464000
Kairon; IRSE!,Ruination,2017-1-26,3694464000
Benighted,Necrobreed,2017-2-6,3695414400
Witherfall,Nocturnes and Requiems,2017-2-6,3695414400
Sinister,Syncretism,2017-2-17,3696364800
Immolation,Atonement,2017-2-20,3696624000
Aeternam,Ruins of Empires,2017-2-24,3696969600
Disperse,Foreword,2017-2-25,3697056000
O.R.k.,Soul of an Octopus,2017-2-26,3697142400
Persefone,Aathma,2017-3-1,3697401600
Sons of a Wanted Man,Black Days Black Dust,2017-3-2,3697488000
Junius,Eternal Rituals for the Accretion of Light,2017-3-6,3697833600
Cellador,Off the Grid,2017-3-6,3697833600
Oceanwake,Earthen,2017-3-8,3698006400
Darkest Hour,Godless Prophets and the Migrant Flora,2017-3-9,3698092800
Wormwood,Ghostlands: Wounds from a Bleeding Earth,2017-3-12,3698352000
Dodecahedron,Kwintessens,2017-3-15,3698611200
Venenum,Trance of Death,2017-3-18,3698870400
Demonic Resurrection,Dashavatar,2017-3-19,3698956800
Pallbearer,Heartless,2017-3-19,3698956800
Fit for an Autopsy,The Great Collapse,2017-3-21,3699129600
Replacire,Do Not Deviate,2017-3-22,3699216000
Lantern,II: Morphosis,2017-3-23,3699302400
1476,Our Season Draws Near,2017-3-27,3699648000
Royal Thunder,Wick,2017-4-4,3700339200
Ophiuchi,Bifurcaria Bifurcata,2017-4-11,3700944000
Dynfari,The Four Doors of the Mind,2017-4-14,3701203200
Lich King,The Omniclasm,2017-4-17,3701462400
Vampire,With Primeval Force,2017-4-21,3701808000
Ghost Bath,Starmourner,2017-4-25,3702153600
Galley Beggar,Heathen Hymns,2017-4-25,3702153600
Havukruunu,Kelle surut soi,2017-4-27,3702326400
Hideous Divinity,Adveniens,2017-4-30,3702585600
The Ruins of Beverast,Exuvia,2017-5-3,3702844800
Voyager,Ghost Mile,2017-5-4,3702931200
The Thirteenth Sun,Stardust,2017-5-8,3703276800
Highland,Loyal to the Nightsky,2017-5-11,3703536000
Sabbath Assembly,Rites of Passage,2017-5-14,3703795200
Below,Upon a Pale Horse,2017-5-15,3703881600
Night Flight Orchestra,Amber Galactic,2017-5-16,3703968000
Loss,Horizonless,2017-5-22,3704486400
Wrath of Belial,Bloodstained Rebellion,2017-5-23,3704572800
Alestorm,No Grave but the Sea,2017-5-24,3704659200
Elder,Reflections of a Floating World,2017-6-4,3705609600
Unleash the Archers,Apex,2017-6-5,3705696000
Father Befouled,Desolate Gods,2017-6-21,3707078400
Dying Fetus,Wrong One to Fuck With,2017-6-21,3707078400
Excalion,Dream Alive,2017-7-4,3708201600
Impure Wilhelmina,Radiation,2017-7-6,3708374400
Beyond Grace,Seekers,2017-7-9,3708633600
Boris,Dear,2017-7-11,3708806400
Tau Cross,Pillar of Fire,2017-7-19,3709497600
Violet Cold,Anomie,2017-7-23,3709843200
Sun of the Sleepless,To the Elements,2017-7-25,3710016000
Temple of Void,Lords of Death,2017-8-2,3710707200
Dead Cross,Dead Cross,2017-8-3,3710793600
Pyrrhon,What Passes for Survival,2017-8-7,3711139200
Lör,In Forgotten Sleep,2017-8-8,3711225600
Hell,Hell,2017-8-10,3711398400
End of Green,Void Estate,2017-8-13,3711657600
Desecresy,The Mortal Horizon,2017-8-14,3711744000
The Necromancers,Servants of the Salem Girl,2017-8-15,3711830400
Bloodlust,At the Devil’s Left Hand,2017-8-21,3712348800
Leprous,Malina,2017-8-22,3712435200
Akercocke,Renaissance In Extremis,2017-8-29,3713040000
Subterranean Masquerade,Vagabond,2017-9-3,3713472000
BIG|BRAVE,Ardor,2017-9-14,3714422400
Chelsea Wolfe,Hiss Spun,2017-9-18,3714768000
Ufomammut,8,2017-9-19,3714854400
Archspire,Relentless Mutation,2017-9-20,3714940800
Dyscarnate,With All Their Might,2017-9-21,3715027200
Caligula’s Horse,In Contact,2017-9-28,3715632000
Spirit Adrift,Curse of Conception,2017-10-2,3715977600
Hällas,Excerpts from a Future Past,2017-10-5,3716236800
The Black Dahlia Murder,Nightbringers,2017-10-5,3716236800
Jag Panzer,The Deviant Chord,2017-10-7,3716409600
Crimfall,Amain,2017-10-12,3716841600
Hallatar,No Stars Upon the Bridge,2017-10-16,3717187200
Sorcerer,The Crowning of the Fire King,2017-10-17,3717273600
Bell Witch,Mirror Reaper,2017-10-20,3717532800
The King is Blind,"We Are the Parasite, We Are the Cancer",2017-10-22,3717705600
Ne Obliviscaris,Urn,2017-10-23,3717792000
Vuur,In This Moment We Are Free – Cities,2017-10-24,3717878400
Exhumed,Death Revenge,2017-10-25,3717964800
Sicarius,Serenade of Slitting Throats,2017-10-26,3718051200
Wobbler,From Silence to Somewhere,2017-10-29,3718310400
Keldian,Darkness and Light,2017-11-4,3718828800
Motherslug,The Electric Dunes of Titan,2017-11-5,3718915200
Converge,The Dusk in Us,2017-11-8,3719174400
Hobosexual,Monolith,2017-11-12,3719520000
Desolate Shrine,Deliverance from the Godless Void,2017-11-13,3719606400
Ayat,Carry On Carrion,2017-12-2,3721248000
The Atomic Bitchwax,Force Field,2017-12-5,3721507200
The Negative Bias,Lamentations of the Chaos Omega,2017-12-7,3721680000
The Clearing Path,Watershed Between Firmament and the Realm of Hyperborea,2017-12-14,3722284800
Hamferð,Támsins likam,2018-1-10,3724617600
Halphas,Dawn of a Crimson Empire,2018-1-11,3724704000
Witchcryer,Cry Witch,2018-1-15,3725049600
Ocean of Grief,Nightfall’s Lament,2018-1-21,3725568000
Heidevolk,Vuur van Verzet,2018-1-22,3725654400
Tribulation,Down Below,2018-1-22,3725654400
Portal,Ion,2018-1-23,3725740800
Hooded Menace,Ossuarium Silhouettes Unhallowed,2018-1-24,3725827200
Orphaned Land,Unsung Prophets & Dead Messiahs,2018-1-25,3725913600
Agrimonia,Awaken,2018-1-26,3726000000
Crow Black Sky,Sidereal Light: Volume One,2018-1-30,3726345600
Weedpecker,III,2018-2-1,3726518400
Bind Torture Kill,Viscères,2018-2-5,3726864000
Harm’s Way,Posthuman,2018-2-7,3727036800
In Vain,Currents,2018-2-11,3727382400
Dream Tröll,The Witch’s Curse EP,2018-2-16,3727814400
Thaurorod,Coast of Gold,2018-2-18,3727987200
The Atlas Moth,Coma Noir,2018-2-19,3728073600
Horizon Ablaze,The Weight of a Thousand Suns,2018-2-22,3728332800
Usurpress,Interregnum,2018-2-25,3728592000
Slugdge,Esoteric Malacology,2018-2-27,3728764800
Huntsmen,American Scrap,2018-3-1,3728937600
Necropanther,Eyes of Blue Light,2018-3-3,3729110400
Among The Rocks And Roots,Raga,2018-3-4,3729196800
Black Royal,Lightbringer,2018-3-7,3729456000
Eryn Non Dae.,Abandon of the Self,2018-3-11,3729801600
Angra,ØMNI,2018-3-11,3729801600
Gygax,2nd Edition,2018-3-15,3730147200
Mournful Congregation,The Incubus of Karma,2018-3-20,3730579200
Slaves BC,"Lo, and I Am Burning",2018-3-21,3730665600
The Crown,Cobra Speed Venom,2018-3-22,3730752000
Necrophobic,Mark of the Necrogram,2018-3-22,3730752000
Death Alley,Superbia,2018-3-23,3730838400
Nightmarer,Cacophony of Terror,2018-3-26,3731097600
RÛR,RÛR,2018-3-28,3731270400
Barren Earth,A Complex of Cages,2018-3-28,3731270400
Augury,Illusive Golden Age,2018-3-29,3731356800
Morrow,Fallow,2018-3-29,3731356800
Altars of Grief,Iris,2018-3-30,3731443200
Messa,Feast for Water,2018-4-1,3731616000
Octopus,Supernatural Alliance,2018-4-9,3732307200
Crone,Godspeed,2018-4-15,3732825600
Collapse of Light,Each Failing Step,2018-4-18,3733084800
Inferi,Revenant,2018-4-23,3733516800
Voices,Frightened,2018-4-25,3733689600
Boss Keloid,Melted on the Inch,2018-4-26,3733776000
Amorphis,Queen of Time,2018-5-16,3735504000
Alkaloid,Liquid Anatomy,2018-5-21,3735936000
Black Book Lodge,Steeple and Spire,2018-5-23,3736108800
Light This City,Terminal Bloom,2018-5-30,3736713600
Kataklysm,Meditations,2018-6-3,3737059200
YOB,Our Raw Heart,2018-6-3,3737059200
Human Cull,Revenant,2018-6-14,3738009600
Fire Down Below,Hymn of the Cosmic Man,2018-6-20,3738528000
Anicon,Entropy Mantra,2018-6-24,3738873600
The Night Flight Orchestra,Sometimes the World Ain’t Enough,2018-6-25,3738960000
Gaerea,Unsettling Whispers,2018-6-28,3739219200
Vanhelga,Fredagsmys,2018-7-3,3739651200
Imperial Triumphant,Vile Luxury,2018-7-10,3740256000
Obscura,Diluvium,2018-7-11,3740342400
Between the Buried and Me,Automata II,2018-7-12,3740428800
Skeletonwitch,Devouring Radiant Light,2018-7-16,3740774400
Extremity,Coffin Birth,2018-7-19,3741033600
﻿Southern Empire,Civilisation,2018-7-31,3742070400
Manticora,To Kill to Live to Kill,2018-8-2,3742243200
Bonjour Tristesse,Your Ultimate Urban Nightmare,2018-8-5,3742502400
Sacrificed Alliance,Withdrawn,2018-8-6,3742588800
Cemetery Urn,Barbaric Retribution,2018-8-14,3743280000
Kraków,minus,2018-8-28,3744489600
Mule Skinner,Airstrike,2018-9-3,3745008000
Allfather,And All Will Be Desolation,2018-9-5,3745180800
Monstrosity,The Passage of Existence,2018-9-6,3745267200
Morne,To the Night Unknown,2018-9-9,3745526400
Voivod,The Wake,2018-9-16,3746131200
Betzefer,Entertain Your Force of Habit,2018-9-18,3746304000
Madder Mortem,Marrow,2018-9-19,3746390400
Sumac,Love in Shadow,2018-9-20,3746476800
Brainstorm,Midnight Ghost,2018-9-23,3746736000
Riverside,Wasteland,2018-9-24,3746822400
Horrendous,Idol,2018-9-26,3746995200
Immortal Guardian,Age of Revolution,2018-9-27,3747081600
Heads for the Dead,Serpent’s Curse,2018-9-28,3747168000
Un,Sentiment,2018-10-1,3747427200
To End It All,Scourge of Woman,2018-10-4,3747686400
Mutilated by Zombies,Scripts of Anguish,2018-10-8,3748032000
Heir Apparent,The View From Below,2018-10-14,3748550400
Mongol,The Return,2018-10-16,3748723200
Imperialist,Cipher,2018-10-18,3748896000
Gorod,Æthra,2018-10-21,3749155200
Eneferens,The Bleakness of Our Constant,2018-10-22,3749241600
Into Eternity,The Sirens,2018-10-23,3749328000
Outre,Hollow Earth,2018-10-24,3749414400
Devouring Star,The Arteries of Heresy,2018-10-27,3749673600
The Ocean,Phanerozoic I: Palaeozoic,2018-10-28,3749760000
Arsis,Visitant,2018-10-28,3749760000
Lifelost,Dialogues From Beyond,2018-10-29,3749846400
Antiverse,Under the Regolith,2018-11-1,3750105600
Décembre Noir,Autumn Kings,2018-11-7,3750624000
Cripple Bastards,La Fine Cresce da Dentro,2018-11-8,3750710400
Dire Peril,The Extraterrestrial Compendium,2018-11-8,3750710400
1914,The Blind Leading the Blind,2018-11-10,3750883200
Soen,“Rival” Premiere and Lotus,2018-11-13,3751142400
Skull Pit,Skull Pit,2018-11-15,3751315200
Unreqvited,Mosaic I: L’Amour et L’Ardeur,2018-11-18,3751574400
Second to Sun,The Walk,2018-11-21,3751833600
Vanishing Kids,Heavy Dreamer,2018-11-27,3752352000
Frozen Land,Frozen Land,2018-12-10,3753475200
Sulphur Aeon,The Scythe of Cosmic Chaos,2018-12-16,3753993600
Beaten to Death,Agronomicon,2018-12-17,3754080000
Aver,Orbis Majora,2019-1-16,3756672000
Ars Magna Umbrae,Lunar Ascension,2019-1-21,3757104000
Hollow Leg,Civilizations,2019-1-23,3757276800
Soulmass,The Weakness of Virtue,2019-1-24,3757363200
Altarage,The Approaching Roar,2019-1-24,3757363200
Soen,Lotus,2019-1-30,3757881600
Downfall of Gaia,Ethic of Radical Finitude,2019-2-5,3758400000
Blue Hummingbird on the Left,Atl Tlachinolli,2019-2-7,3758572800
Drottnar,Monolith,2019-2-11,3758918400
Vanum,Ageless Fire,2019-2-14,3759177600
King Apathy,Wounds,2019-2-17,3759436800
Wachenfeldt,The Interpreter,2019-2-19,3759609600
Vimur,Triumphant Master of Fates,2019-2-26,3760214400
Cartographs,Wilt & Blossom,2019-2-28,3760387200
Source,Totality,2019-3-3,3760646400
Misery Index,Rituals of Power,2019-3-3,3760646400
Sinmara,Hvísl Stjarnanna,2019-3-4,3760732800
Ataraxie,Résignés,2019-3-6,3760905600
Equipoise,Demiurgus,2019-3-7,3760992000
Thormesis,The Sixth,2019-3-7,3760992000
Venom Prison,Samsara,2019-3-17,3761856000
Gomorrah,Gomorrah,2019-3-18,3761942400
Aephanemer,Prokopton,2019-3-19,3762028800
Ashen Horde,Fallen Cathedrals,2019-3-20,3762115200
Sermon,Birth of the Marvellous,2019-3-21,3762201600
Devin Townsend,Empath,2019-3-25,3762547200
Déhà,Cruel Words,2019-3-27,3762720000
Crown of Autumn,Byzantine Horizons,2019-4-1,3763152000
Waste of Space Orchestra,Syntheosis,2019-4-2,3763238400
Moon Tooth,Crux,2019-4-4,3763411200
Wormwitch,Heaven That Dwells Within,2019-4-5,3763497600
Vous Autres,Champ du Sang,2019-4-7,3763670400
Inter Arma,Sulphur English,2019-4-8,3763756800
Violet Cold,kOsmik,2019-4-9,3763843200
Inculter,Fatal Visions,2019-4-11,3764016000
Wheel,Moving Backwards,2019-4-13,3764188800
Dead to a Dying World,Elegy,2019-4-18,3764620800
Black Sites,Exile,2019-4-18,3764620800
Istapp,The Insidious Star,2019-4-24,3765139200
Belzebubs,Pantheon of the Nightside Gods,2019-4-25,3765225600
Idle Hands,Mana,2019-5-5,3766089600
Spirit Adrift,Divided by Darkness,2019-5-6,3766176000
Glassing,Spotted Horse,2019-5-16,3767040000
Paladin,Ascension,2019-5-16,3767040000
Goregäng,Neon Graves,2019-5-19,3767299200
Kull,Exile,2019-5-21,3767472000
Calyx,Vientos Arcaicos,2019-5-22,3767558400
Adrift,Pure,2019-5-27,3767990400
Skelator,Cyber Metal,2019-6-12,3769372800
Organectomy,Existential Disconnect,2019-6-16,3769718400
The Odious,Vesica Piscis,2019-6-18,3769891200
Glare of the Sun,Theia,2019-6-20,3770064000
Ascend the Hollow,Echoes of Existence,2019-6-23,3770323200
Ashbringer,Absolution,2019-6-25,3770496000
Yellow Eyes,Rare Field Ceiling,2019-6-26,3770582400
Beastwars,IV,2019-6-27,3770668800
Dream Tröll,“I Will Not Die Today” Video Premiere and Second to None,2019-7-2,3771100800
Turilli / Lione Rhapsody,Zero Gravity: Rebirth and Evolution,2019-7-4,3771273600
Kryptos,Afterburner,2019-7-5,3771360000
An Isolated Mind,I’m Losing Myself,2019-7-7,3771532800
Tomb Mold,Planetary Clairvoyance,2019-7-14,3772137600
Lacrimas Profundere,Bleeding the Stars,2019-7-21,3772742400
High Fighter,Champain,2019-7-22,3772828800
The Offering,Home,2019-7-31,3773606400
Isole,Dystopia,2019-8-19,3775248000
Devourment,Obscene Majesty,2019-8-20,3775334400
Ivory Tower,Stronger,2019-8-21,3775420800
Astralium,Land of Eternal Dreams,2019-8-22,3775507200
Hope Drone,Void Lustre,2019-8-27,3775939200
Warcrab,Damned in Endless Night,2019-8-29,3776112000
Ezkaton,Sheen and Misery,2019-9-1,3776371200
Disillusion,The Liberation,2019-9-5,3776716800
Raventale,Morphine Dead Gardens,2019-9-8,3776976000
Atlantean Kodex,The Course of Empire,2019-9-9,3777062400
Mizmor,Cairn,2019-9-10,3777148800
Nightfell,A Sanity Deranged,2019-9-10,3777148800
Cult of Luna,A Dawn to Fear,2019-9-16,3777667200
White Ward,Love Exchange Failure,2019-9-17,3777753600
Graveyard,Hold Back the Dawn,2019-9-18,3777840000
Cult of Sorrow,Invocation of the Lucifer,2019-9-18,3777840000
No One Knows What the Dead Think,No One Knows What the Dead Think,2019-9-19,3777926400
Exhorder,Mourn the Southern Skies,2019-9-19,3777926400
Vorna,Sateet palata saavat,2019-9-22,3778185600
Fvneral Fvkk,Carnal Confessions,2019-9-23,3778272000
Ghosts of Glaciers,The Greatest Burden,2019-9-24,3778358400
Opeth,In Cauda Venenum,2019-9-26,3778531200
Ancient Moon,"Benedictus Diabolica, Gloria Patri",2019-9-29,3778790400
Arallu,En Olam,2019-10-4,3779222400
Saint Karloff,Interstellar Voodoo,2019-10-6,3779395200
IATT,Nomenclature,2019-10-9,3779654400
Lacuna Coil,Black Anima,2019-10-10,3779740800
Maeskyyrn,Interlude,2019-10-13,3780000000
Sammath,Across the Rhine Is Only Death,2019-10-15,3780172800
Rimfrost,Expedition: Darkness,2019-10-18,3780432000
Xoth,Interdimensional Invocations,2019-10-20,3780604800
Galneryus,Into the Purgatory,2019-10-21,3780691200
Mayhem,Daemon,2019-10-22,3780777600
Dawn Ray’d,Behold Sedition Plainsong,2019-10-24,3780950400
The Great Old Ones,Cosmicism,2019-10-27,3781209600
Wilderun,Veil of Imagination,2019-10-30,3781468800
Wilderun,Veil of Imagination,2019-10-30,3781468800
Schammasch,Hearts of No Light,2019-11-6,3782073600
Rosk,remnants,2019-11-7,3782160000
Second to Sun,Legacy,2019-11-7,3782160000
Krater,Venenare,2019-11-10,3782419200
Hideous Divinity,Simulacrum,2019-11-13,3782678400
Necropanther,The Doomed City,2019-11-14,3782764800
Blood Incantation,Hidden History of the Human Race,2019-11-17,3783024000
Unfathomable Ruination,Enraged and Unbound,2019-11-18,3783110400
Obsequiae,The Palms of Sorrowed Kings,2019-11-20,3783283200
Avatarium,The Fire I Long For,2019-11-21,3783369600
Esoteric,A Pyrrhic Existence,2019-11-22,3783456000
Slow,VI – Dantalion,2019-11-23,3783542400
Teeth,The Curse of Entropy,2019-11-25,3783715200
Brothers of Metal,Emblas Saga,2020-1-5,3787257600
Surgical Strike,Part of a Sick World,2020-1-20,3788553600
Raphael Weinroth,Browne – Worlds Within,2020-1-22,3788726400
殞煞 Vengeful Spectre,殞煞 Vengeful Spectre,2020-1-28,3789244800
Marrasmieli,Between Land and Sky,2020-2-1,3789590400
Blaze of Perdition,The Harrowing of Hearts,2020-2-9,3790281600
Godthrymm,Reflections,2020-2-11,3790454400
Vision of Choice,Mistress of the Gods,2020-2-13,3790627200
Xenobiotic,Mordrake,2020-2-16,3790886400
Kvaen,The Funeral Pyre,2020-2-25,3791664000
Drown,Subaqueous,2020-2-26,3791750400
Black Royal,Firebride,2020-3-1,3792096000
Vredehammer,Viperous,2020-3-1,3792096000
Earth Rot,Black Tides of Obscurity,2020-3-4,3792355200
Canis Dirus,Independence to the Beast,2020-3-5,3792441600
Rosy Finch,Scarlet,2020-3-8,3792700800
Afterbirth,Four Dimensional Flesh,2020-3-9,3792787200
Neck of the Woods,The Annex of Ire,2020-3-15,3793305600
Hyborian,Vol. II,2020-3-19,3793651200
Aeternam,Al Qassam,2020-3-23,3793996800
Malokarpatan,Krupinské ohne,2020-3-24,3794083200
Void of Sleep,Metaphora,2020-3-25,3794169600
Membaris,Misanthrosophie,2020-3-28,3794428800
Velnias,Scion of Aether,2020-3-29,3794515200
Loviatar,Lightless,2020-3-30,3794601600
Forndom,Faþir,2020-4-1,3794774400
Wake,Devouring Ruin,2020-4-3,3794947200
Benighted,Obscene Repressed,2020-4-8,3795379200
Calligram,The Eye Is The First Circle,2020-4-9,3795465600
Barishi,OId Smoke,2020-4-13,3795811200
Forlesen,Hierophant Violent,2020-4-16,3796070400
Dark Forest,"Oak, Ash & Thorn",2020-4-20,3796416000
Ulcerate,Stare into Death and Be Still,2020-4-21,3796502400
Warbringer,Weapons of Tomorrow,2020-4-23,3796675200
Black Curse,Endless Wound,2020-4-24,3796761600
Sölicitör,Spectral Devastation,2020-4-26,3796934400
Malist,To Mantle the Rising Sun,2020-4-27,3797020800
Green Carnation,Leaves of Yesteryear,2020-5-3,3797539200
…and Oceans,Cosmic World Mother,2020-5-5,3797712000
Winterfylleth,The Reckoning Dawn,2020-5-10,3798144000
Alestorm,Curse of the Crystal Coconut,2020-5-27,3799612800
Akolyth,Akolyth,2020-5-28,3799699200
Witches,The Fates,2020-6-2,3800131200
Ebonivory,The Long Dream I,2020-6-4,3800304000
Ulthar,Providence,2020-6-8,3800649600
Foetal Juice,Gluttony,2020-6-10,3800822400
Valdrin,Effigy of Nightmares,2020-6-10,3800822400
Fornicus,Sulphuric Omnipotence,2020-6-14,3801168000
Pale Divine,Consequence of Time,2020-6-22,3801859200
Protest the Hero,Palimpsest,2020-6-24,3802032000
Convocation,Ashes Coalesce,2020-7-14,3803760000
Defeated Sanity,The Sanguinary Impetus,2020-7-21,3804364800
Gaerea,Limbo,2020-7-22,3804451200
Haken,VIrus,2020-7-23,3804537600
Imperial Triumphant,Alphaville,2020-7-28,3804969600
Dkharmakhaoz,Proclamation ov the Black Suns,2020-7-29,3805056000
Faceless Burial,Speciation,2020-8-2,3805401600
Temple Nightside,Pillars of Damnation,2020-8-4,3805574400
Atramentus,Stygian,2020-8-16,3806611200
Havukruunu,Uinuos syömein sota,2020-8-18,3806784000
Cytotoxin,Nuklearth,2020-8-25,3807388800
Manticora,To Live to Kill to Live,2020-8-27,3807561600
Panzerfaust,The Suns of Perdition – Chapter II: Render unto Eden,2020-8-27,3807561600
Oceans of Slumber,Oceans of Slumber,2020-9-1,3807993600
Raventale,Planetarium II,2020-9-7,3808512000
Sunken,Livslede,2020-9-14,3809116800
Blackevil,Forever Baptised in Eternal Fire,2020-9-20,3809635200
Svalbard,"When I Die, Will I Get Better?",2020-9-22,3809808000
Anaal Nathrakh,Endarkenment,2020-9-27,3810240000
Ascian,Elysion,2020-9-29,3810412800
Arcade Messiah,The Host,2020-10-3,3810758400
Hellripper,The Affair of the Poisons,2020-10-9,3811276800
Necrophobic,Dawn of the Damned,2020-10-10,3811363200
Cryptic Shift,Visitations from Enceladus,2020-10-16,3811881600
Wobbler,Dwellers of the Deep,2020-10-21,3812313600
Slow Fall,Beneath the Endless Rains,2020-10-22,3812400000
Scardust,Strangers,2020-10-27,3812832000
Wytch Hazel,Wytch Hazel III: Pentecost,2020-10-29,3813004800
October Falls,Syys,2020-10-31,3813177600
Hell:on,Scythian Stamm,2020-11-3,3813436800
Mr Bungle,The Raging Wrath of the Easter Bunny Demo,2020-11-5,3813609600
Liminal Shroud,“Tainted Soil” Premiere and Through the False Narrows,2020-11-11,3814128000
Dark Buddha Rising,Mathreyata,2020-11-13,3814300800
Omnivortex,Diagrams of Consciousness,2020-11-19,3814819200
Shores of Null,Beyond the Shores (On Death and Dying),2020-11-23,3815164800
Fractal Generator,Macrocosmos,2021-1-10,3819312000
Demoniac,So It Goes,2021-1-24,3820521600
Eximperitus­erqethh­zebib­šip­tugak­kath­šul­weliar­zaxułum,Šahrartu,2021-1-27,3820780800
Soen,Imperial Vinyl,2021-1-28,3820867200
The Ruins of Beverast,The Thule Grimoires,2021-2-2,3821299200
Misotheist,For the Glory of Your Redeemer,2021-2-4,3821472000
Ad Nauseam,Imperative Imperceptible Impulse,2021-2-8,3821817600
Suffering Hour,The Cyclic Reckoning,2021-2-21,3822940800
Paranorm,Empyrean,2021-2-22,3823027200
Significant Point,Into the Storm,2021-2-24,3823200000
Iotunn,Access All Worlds,2021-2-25,3823286400
Empyrium,Über den Sternen,2021-2-26,3823372800
Wÿntër Ärvń,Abysses,2021-3-1,3823632000
Sepulcros,Vazio,2021-3-8,3824236800
Miasmata,Unlight: Songs of Earth and Atrophy,2021-3-10,3824409600
Enforced,Kill Grid,2021-3-11,3824496000
Stortregn,Impermanence,2021-3-11,3824496000
Pupil Slicer,Mirrors,2021-3-11,3824496000
Mare Cognitum,Solar Paroxysm,2021-3-14,3824755200
Dvne,Etemen Ænka,2021-3-18,3825100800
Cryptosis,Bionic Swarm,2021-3-22,3825446400
Zao,The Crimson Corridor,2021-4-6,3826742400
Kauan,Ice Fleet,2021-4-7,3826828800
Mānbryne,Heilsweg: O udrece ciala i tulaczce duszy,2021-4-8,3826915200
Paysage d’Hiver,Geister,2021-4-19,3827865600
Vokonis,Odyssey,2021-5-5,3829248000
Subterranean Masquerade,Mountain Fever,2021-5-9,3829593600
Seth,La Morsure du Christ,2021-5-10,3829680000
Dordeduh,Har,2021-5-12,3829852800
Impure Wilhelmina,Antidote,2021-5-16,3830198400
VOLA,Witness,2021-5-19,3830457600
Mental Cruelty,A Hill to Die Upon,2021-5-23,3830803200
Silver Talon,Decadence and Decay,2021-5-27,3831148800
Boss Keloid,Family the Smiling Thrush,2021-6-3,3831753600
Somnuri,Nefarious Wave,2021-6-4,3831840000
Portal,Avow,2021-6-7,3832099200
King Buffalo,The Burden of Restlessness,2021-6-10,3832358400
Son of Sam,And the Monster Awoke…,2021-6-11,3832444800
Bossk,Migration,2021-6-22,3833395200
Thy Catafalque,Vadak,2021-6-27,3833827200
Diabolizer,Khalkedonian Death,2021-7-1,3834172800
Alustrium,A Monument to Silence,2021-7-4,3834432000
Polemicist,Return of the Sophist,2021-7-5,3834518400
Musk Ox,Inheritance,2021-7-6,3834604800
Diskord,Degenerations,2021-8-8,3837456000
Osi and the Jupiter,Stave,2021-8-25,3838924800
Headshrinker,Callous Indifference,2021-8-27,3839097600
Beyond Grace,Our Kingdom Undone,2021-9-6,3839961600
Brainstorm,Wall of Skulls,2021-9-13,3840566400
Seven Spires,Gods of Debauchery,2021-9-20,3841171200
Duel,In Carne Persona,2021-10-3,3842294400
Franklin Zoo,The Dandelion Child,2021-10-10,3842899200
Noltem,Illusions in the Wake,2021-10-11,3842985600
The Silver,Ward of Roses,2021-10-13,3843158400
WORM,Foreverglade,2021-10-19,3843676800
1914,Where Fear and Weapons Meet,2021-10-20,3843763200
Green Lung,Black Harvest,2021-10-21,3843849600
Knife,Knife,2021-10-22,3843936000
Archspire,Bleed the Future,2021-10-25,3844195200
Zornheym,The Zornheim Sleep Experiment,2021-10-26,3844281600
Sunless,Ylem,2021-10-28,3844454400
Black Sites,Untrue,2021-10-29,3844540800
Glassing,Twin Dream,2021-11-3,3844972800
Diablo Swing Orchestra,Swagger & Stroll Down the Rabbit Hole,2021-11-3,3844972800
Mortiferum,Preserved in Torment,2021-11-4,3845059200
Churchburn,Genocidal Rite,2021-11-4,3845059200
Mystras,Empires Vanquished and Dismantled,2021-11-4,3845059200
Outre,Tombe – Abysse Mortifère,2021-11-7,3845318400
Black Soul Horde,Horrors from the Void,2021-11-8,3845404800
Plebeian Grandstand,Rien ne suffit,2021-11-15,3846009600
Obscura,A Valediction,2021-11-17,3846182400
