Band,Album,Date Published,Nerd Date
Black Boned Angel,The End,2013-4-1,3573849600
Just Before Dawn,Precis Innan Gryningen,2013-4-16,3575145600
The Ocean,Pelagial,2013-4-17,3575232000
Colossus,Wake,2013-4-20,3575491200
Altar of Plagues,Teethed Glory and Injury,2013-4-24,3575836800
Spiritual Beggars,Earth Blues,2013-4-25,3575923200
The Body,"Master, We Perish EP",2013-4-28,3576182400
Satan,Life Sentence,2013-5-14,3577564800
Summoning,Old Mornings Dawn,2013-5-25,3578515200
Svart Crown,Profane,2013-5-26,3578601600
The Black Dahlia Murder,Everblack,2013-6-8,3579724800
White Wizzard,The Devil’s Cut,2013-6-9,3579811200
Author & Punisher,Women & Children,2013-6-14,3580243200
Amon Amarth,Deceiver of the Gods,2013-6-17,3580502400
Locrian,Return to Annihilation,2013-6-20,3580761600
Oliva,Raise the Curtain,2013-7-5,3582057600
Unkind,Pelon Juuret,2013-7-6,3582144000
Cerekloth,In the Midst of Life We are in Death,2013-7-11,3582576000
Powerwolf,Preachers of the Night,2013-7-23,3583612800
Torture Division,The Worship,2013-7-25,3583785600
Exhumed,Necrocracy,2013-7-29,3584131200
Parasite Inc,Time Tears Down,2013-8-2,3584476800
Witherscape,The Inheritance,2013-8-12,3585340800
Shakhtyor,Shakhtyor,2013-8-15,3585600000
Turisas,Turisas2013,2013-8-22,3586204800
Primitive Man,Scorn,2013-8-23,3586291200
Ataraxie,L’Être et la Nausée,2013-8-27,3586636800
Carcass,Surgical Steel,2013-9-2,3587155200
Ulcerate,Vermis,2013-9-3,3587241600
Grumbling Fur,Glynnaestra,2013-9-8,3587673600
Atlantean Kodex,The White Goddess,2013-9-11,3587932800
Haken,The Mountain,2013-9-12,3588019200
Vattnet Viskar,Sky Swallower,2013-9-17,3588451200
Obelyskkh,Hymn To Pan,2013-9-26,3589228800
The Body,"Christs, Redeemers",2013-10-3,3589833600
Sarkom,Doomsday Elite,2013-10-9,3590352000
Lodz,Something In Us Died,2013-10-14,3590784000
Revocation,Revocation,2013-10-17,3591043200
Gorguts,Colored Sands,2013-10-17,3591043200
Hail of Bullets,III The Rommel Chronicles,2013-10-18,3591129600
Inquisition,Obscure Verses for the Multiverse,2013-10-20,3591302400
Skeletonwitch,Serpents Unleashed,2013-10-26,3591820800
Falkenbach,Asa,2013-11-3,3592512000
Exivious,Liminal,2013-11-10,3593116800
Eudaimony,Futile,2013-11-14,3593462400
Eye of Solitude,Canto III,2013-11-16,3593635200
Ayreon,The Theory of Everything,2013-11-21,3594067200
Blood Mortized,"The Demon, the Angel, the Disease",2013-11-22,3594153600
Indian,From All Purity,2014-1-15,3598819200
Soreption,Engineering the Void,2014-1-24,3599596800
Behemoth,The Satanist,2014-2-5,3600633600
Hail Spirit Noir,Oi Magoi,2014-2-12,3601238400
Will of the Ancients,To Our Glorious Dead,2014-2-20,3601929600
Nebelung,Palingenesis,2014-3-1,3602707200
Morbus Chron,Sweven,2014-3-6,3603139200
Brainstorm,Firesoul,2014-3-20,3604348800
Pyrrhon,The Mother of Virtues,2014-3-26,3604867200
Nightsatan,Nightsatan and the Loops of Doom,2014-3-27,3604953600
Gazpacho,Demon,2014-4-5,3605731200
Vanhelga,Längtan,2014-4-16,3606681600
Triptykon,Melana Chasmata,2014-4-17,3606768000
Elvenking,The Pagan Manifesto,2014-4-22,3607200000
Of Spire & Throne,Toll of the Wound,2014-4-29,3607804800
Castle,Under Siege,2014-5-6,3608409600
Doom:VS,Earthless,2014-5-8,3608582400
Décembre Noir,A Discouraged Believer,2014-5-15,3609187200
Teitanblood,Death,2014-5-16,3609273600
Vehemenz,Vehemenz,2014-5-17,3609360000
Vainaja,Kadotetut,2014-5-19,3609532800
Darkest Era,Severance,2014-5-26,3610137600
The Atlas Moth,The Old Believer,2014-6-5,3611001600
Wretched,Cannibal,2014-6-11,3611520000
Deathwhite,Ethereal EP,2014-6-23,3612556800
Origin,Omnipresent,2014-7-1,3613248000
Vintersorg,Naturbål,2014-7-3,3613420800
Overkill,White Devil Armory,2014-7-18,3614716800
Vardan,Enjoy of Deep Sadness,2014-7-21,3614976000
