Aoria,The Constant,2012-11-20,Ofermod,Thaumiel,2012-11-21,1
Void of Sleep,Tales Between Reality and Madness,2013-1-13,Audrey Horne,Youngblood,2013-1-14,1
Audrey Horne,Youngblood,2013-1-14,Voivod,Target Earth,2013-1-15,1
Devourment,Conceived in Sewage,2013-2-13,New Keepers of the Water Towers,Cosmic Child,2013-2-14,1
New Keepers of the Water Towers,Cosmic Child,2013-2-14,Omnium Gatherum,Beyond,2013-2-15,1
Nails,Abandon All Life,2013-3-16,Serenity,War of Ages,2013-3-17,1
Wormed,Exodromos,2013-3-20,Victor Griffin’s In,Graved,2013-3-21,1
Just Before Dawn,Precis Innan Gryningen,2013-4-16,The Ocean,Pelagial,2013-4-17,1
Altar of Plagues,Teethed Glory and Injury,2013-4-24,Spiritual Beggars,Earth Blues,2013-4-25,1
Summoning,Old Mornings Dawn,2013-5-25,Svart Crown,Profane,2013-5-26,1
The Black Dahlia Murder,Everblack,2013-6-8,White Wizzard,The Devil’s Cut,2013-6-9,1
Oliva,Raise the Curtain,2013-7-5,Unkind,Pelon Juuret,2013-7-6,1
Turisas,Turisas2013,2013-8-22,Primitive Man,Scorn,2013-8-23,1
Carcass,Surgical Steel,2013-9-2,Ulcerate,Vermis,2013-9-3,1
Atlantean Kodex,The White Goddess,2013-9-11,Haken,The Mountain,2013-9-12,1
Gorguts,Colored Sands,2013-10-17,Hail of Bullets,III The Rommel Chronicles,2013-10-18,1
Ayreon,The Theory of Everything,2013-11-21,Blood Mortized,"The Demon, the Angel, the Disease",2013-11-22,1
Pyrrhon,The Mother of Virtues,2014-3-26,Nightsatan,Nightsatan and the Loops of Doom,2014-3-27,1
Vanhelga,Längtan,2014-4-16,Triptykon,Melana Chasmata,2014-4-17,1
Décembre Noir,A Discouraged Believer,2014-5-15,Teitanblood,Death,2014-5-16,1
Teitanblood,Death,2014-5-16,Vehemenz,Vehemenz,2014-5-17,1
Panopticon,Roads to the North,2014-7-28,Belphegor,Conjuring the Dead,2014-7-29,1
YOB,Clearing the Path to Ascend,2014-8-29,Opeth,Pale Communion,2014-8-30,1
Audrey Horne,Pure Heavy,2014-9-14,Ophis,Abhorrence in Opulence,2014-9-15,1
Ophis,Abhorrence in Opulence,2014-9-15,Threshold,For the Journey,2014-9-16,1
Phobocosm,Deprived,2014-9-28,Solitary Sabred,Redemption Through Force,2014-9-29,1
Solitary Sabred,Redemption Through Force,2014-9-29,Decapitated,Blood Mantra,2014-9-30,1
Decapitated,Blood Mantra,2014-9-30,Blut Aus Nord,Memoria Vetusta III: Saturnian Poetry,2014-10-1,1
Horrendous,Ecdysis,2014-10-11,My Brother The Wind,Once There Was A Time When Time And Space Were One,2014-10-12,1
Riot V,Unleash the Fire,2014-10-25,Soen,Tellurian,2014-10-26,1
Soen,Tellurian,2014-10-26,Oraculum,Sorcery of the Damned,2014-10-27,1
Oraculum,Sorcery of the Damned,2014-10-27,Obake,Mutations,2014-10-28,1
Voices,London,2014-11-13,Unearth,Watchers of Rule,2014-11-14,1
Downfall of Gaia,Aeon Unveils The Throne of Decay,2014-11-18,Skelethal,Interstellar Knowledge of the Purple Entity,2014-11-19,1
Sylosis,Dormant Heart,2015-1-8,Beardfish,+4626-Comfortzone,2015-1-9,1
Perdition Temple,The Tempter’s Victorious,2015-3-16,Alkaloid,The Malkuth Grimoire,2015-3-17,1
Alkaloid,The Malkuth Grimoire,2015-3-17,Oceanwake,Sunless,2015-3-18,1
Unrest,Grindcore,2015-3-21,Wino and Conny Ochs,Freedom Conspiracy,2015-3-22,1
Steven Wilson,Hand. Cannot. Erase.,2015-3-29,Ufomammut,Ecate,2015-3-30,1
Sulphur Aeon,Gateway to the Antisphere,2015-4-8,Infernal War,Axiom,2015-4-9,1
Akhlys,The Dreaming I,2015-4-11,Outre,Ghost Chants,2015-4-12,1
Thornesbreed,GTRD,2015-6-19,Goatsnake,Black Age Blues,2015-6-20,1
Author & Punisher,Melk En Honing,2015-7-1,Kingcrow,Eidos,2015-7-2,1
Deathwhite,Solitary Martyr EP,2015-8-10,Krallice,Ygg huur,2015-8-11,1
Scythian,Hubris In Excelsis,2015-8-15,Ghost,Meliora,2015-8-16,1
Ghost,Meliora,2015-8-16,Myrkur,M,2015-8-17,1
Pentagram,Curious Volume,2015-8-20,Chelsea Wolfe,Abyss,2015-8-21,1
Pseudo/Sentai,Bansheeface,2015-10-12,Deafheaven,New Bermuda,2015-10-13,1
Deafheaven,New Bermuda,2015-10-13,Enshine,Singularity,2015-10-14,1
Enshine,Singularity,2015-10-14,Lik,Mass Funeral Evocation,2015-10-15,1
Vhöl,Deeper Than Sky,2015-10-20,Horrendous,Anareta,2015-10-21,1
Horrendous,Anareta,2015-10-21,Panopticon,Autumn Eternal,2015-10-22,1
Vehemence,Forward Without Motion,2015-10-24,Killing Joke,Pylon,2015-10-25,1
Killing Joke,Pylon,2015-10-25,Draconian,Sovran,2015-10-26,1
Kampfar,Profan,2015-11-15,Nightfell,Darkness Evermore,2015-11-16,1
Jess and the Ancient Ones,Second Psychedelic Coming: The Aquarius Tapes,2015-12-9,Nar Mattaru,Ancient Atomic Warfare,2015-12-10,1
Megadeth,Dystopia,2016-1-31,Fleshgod Apocalypse,King,2016-2-1,1
Fleshgod Apocalypse,King,2016-2-1,Brutality,Sea of Ignorance,2016-2-2,1
Rimfrost,Rimfrost,2016-3-21,King Goat,Conduit,2016-3-22,1
Howls of Ebb,Cursus Impasse: The Pendlomic Vows,2016-4-10,Zealotry,The Last Witness,2016-4-11,1
Zealotry,The Last Witness,2016-4-11,Mantar,Ode to the Flame,2016-4-12,1
Beastwars,The Death of All Things,2016-4-19,Allfather,Bless the Earth with Fire,2016-4-20,1
Allfather,Bless the Earth with Fire,2016-4-20,Messa,Belfry,2016-4-21,1
Plebeian Grandstand,"False Highs, True Lows",2016-4-21,Abhomine,Larve Offal Swine,2016-4-22,1
Winterhorde,Maestro,2016-5-10,Suidakra,Realms of Odoric,2016-5-11,1
The Vision Bleak,The Unknown,2016-6-13,Katatonia,The Fall of Hearts,2016-6-14,1
Inter Arma,Paradise Gallows,2016-6-30,Pseudo/Sentai,Enter the Sentai,2016-7-1,1
Witherscape,The Northern Sanctuary,2016-7-11,Vulvodynia,Psychosadistic Design,2016-7-12,1
Caïna,Christ Clad in White Phosphorus,2016-7-17,Harakiri For The Sky,III: Trauma,2016-7-18,1
Spirit Adrift,Chained to Oblivion,2016-8-6,Marsh Dweller,The Weight of Sunlight,2016-8-7,1
Voidspawn,Pyrrhic EP,2016-9-3,Unfathomable Ruination,Finitude,2016-9-4,1
Thy Catafalque,Meta,2016-9-29,Kryptos,Burn up the Night,2016-9-30,1
Mercyless,Pathetic Divinity,2016-10-5,Candiria,While They Were Sleeping,2016-10-6,1
Anaal Nathrakh,The Whole of the Law,2016-10-26,Dark Tranquillity,Atoma,2016-10-27,1
Dark Tranquillity,Atoma,2016-10-27,Mithras,On Strange Loops,2016-10-28,1
Downfall of Gaia,Atrophy,2016-11-10,Conceived By Hate,Death & Beyond,2016-11-11,1
Need,Hegaiamas​: ​A Song for Freedom,2017-1-11,Helheim,landawarijaR,2017-1-12,1
Lorn,Arrayed Claws,2017-1-25,Nailed to Obscurity,King Delusion,2017-1-26,1
Aeternam,Ruins of Empires,2017-2-24,Disperse,Foreword,2017-2-25,1
Disperse,Foreword,2017-2-25,O.R.k.,Soul of an Octopus,2017-2-26,1
Persefone,Aathma,2017-3-1,Sons of a Wanted Man,Black Days Black Dust,2017-3-2,1
Oceanwake,Earthen,2017-3-8,Darkest Hour,Godless Prophets and the Migrant Flora,2017-3-9,1
Venenum,Trance of Death,2017-3-18,Demonic Resurrection,Dashavatar,2017-3-19,1
Fit for an Autopsy,The Great Collapse,2017-3-21,Replacire,Do Not Deviate,2017-3-22,1
Replacire,Do Not Deviate,2017-3-22,Lantern,II: Morphosis,2017-3-23,1
The Ruins of Beverast,Exuvia,2017-5-3,Voyager,Ghost Mile,2017-5-4,1
Sabbath Assembly,Rites of Passage,2017-5-14,Below,Upon a Pale Horse,2017-5-15,1
Below,Upon a Pale Horse,2017-5-15,Night Flight Orchestra,Amber Galactic,2017-5-16,1
Loss,Horizonless,2017-5-22,Wrath of Belial,Bloodstained Rebellion,2017-5-23,1
Wrath of Belial,Bloodstained Rebellion,2017-5-23,Alestorm,No Grave but the Sea,2017-5-24,1
Elder,Reflections of a Floating World,2017-6-4,Unleash the Archers,Apex,2017-6-5,1
Temple of Void,Lords of Death,2017-8-2,Dead Cross,Dead Cross,2017-8-3,1
Pyrrhon,What Passes for Survival,2017-8-7,Lör,In Forgotten Sleep,2017-8-8,1
End of Green,Void Estate,2017-8-13,Desecresy,The Mortal Horizon,2017-8-14,1
Desecresy,The Mortal Horizon,2017-8-14,The Necromancers,Servants of the Salem Girl,2017-8-15,1
Bloodlust,At the Devil’s Left Hand,2017-8-21,Leprous,Malina,2017-8-22,1
Chelsea Wolfe,Hiss Spun,2017-9-18,Ufomammut,8,2017-9-19,1
Ufomammut,8,2017-9-19,Archspire,Relentless Mutation,2017-9-20,1
Archspire,Relentless Mutation,2017-9-20,Dyscarnate,With All Their Might,2017-9-21,1
Hallatar,No Stars Upon the Bridge,2017-10-16,Sorcerer,The Crowning of the Fire King,2017-10-17,1
The King is Blind,"We Are the Parasite, We Are the Cancer",2017-10-22,Ne Obliviscaris,Urn,2017-10-23,1
Ne Obliviscaris,Urn,2017-10-23,Vuur,In This Moment We Are Free – Cities,2017-10-24,1
